Track,Time,Program_c,Channer,Note,Speed
2,0, Note_on_c,0,76,110
2,48, Note_on_c,0,75,110
2,96, Note_on_c,0,76,110
2,144, Note_on_c,0,75,110
2,192, Note_on_c,0,76,110
2,240, Note_on_c,0,71,110
2,288, Note_on_c,0,74,110
2,336, Note_on_c,0,72,110
2,384, Note_on_c,0,69,110
2,528, Note_on_c,0,60,110
2,576, Note_on_c,0,64,110
2,624, Note_on_c,0,69,110
2,672, Note_on_c,0,71,110
2,816, Note_on_c,0,64,110
2,864, Note_on_c,0,68,110
2,912, Note_on_c,0,71,110
2,960, Note_on_c,0,72,110
2,1104, Note_on_c,0,64,110
2,1152, Note_on_c,0,76,110
2,1200, Note_on_c,0,75,110
2,1248, Note_on_c,0,76,110
2,1296, Note_on_c,0,75,110
2,1344, Note_on_c,0,76,110
2,1392, Note_on_c,0,71,110
2,1440, Note_on_c,0,74,110
2,1488, Note_on_c,0,72,110
2,1536, Note_on_c,0,69,110
2,1680, Note_on_c,0,60,110
2,1728, Note_on_c,0,64,110
2,1776, Note_on_c,0,69,110
2,1824, Note_on_c,0,71,110
2,1968, Note_on_c,0,64,110
2,2016, Note_on_c,0,72,110
2,2064, Note_on_c,0,71,110
2,2112, Note_on_c,0,69,110
2,2256, Note_on_c,0,64,110
2,2304, Note_on_c,0,65,110
2,2352, Note_on_c,0,64,110
2,2400, Note_on_c,0,65,110
2,2424, Note_on_c,0,69,110
2,2448, Note_on_c,0,72,110
2,2592, Note_on_c,0,77,127
2,2664, Note_on_c,0,76,110
2,2688, Note_on_c,0,76,110
2,2784, Note_on_c,0,74,110
2,2880, Note_on_c,0,82,110
2,2952, Note_on_c,0,81,110
2,2976, Note_on_c,0,81,110
2,3024, Note_on_c,0,79,110
2,3072, Note_on_c,0,77,110
2,3120, Note_on_c,0,76,110
2,3168, Note_on_c,0,74,110
2,3216, Note_on_c,0,72,110
2,3264, Note_on_c,0,70,110
2,3360, Note_on_c,0,69,110
2,3456, Note_on_c,0,69,110
2,3480, Note_on_c,0,67,110
2,3504, Note_on_c,0,69,110
2,3528, Note_on_c,0,70,110
2,3552, Note_on_c,0,72,110
2,3744, Note_on_c,0,74,110
2,3792, Note_on_c,0,75,110
2,3840, Note_on_c,0,76,110
2,3984, Note_on_c,0,76,110
2,4032, Note_on_c,0,77,110
2,4080, Note_on_c,0,69,110
2,4128, Note_on_c,0,72,110
2,4272, Note_on_c,0,74,110
2,4296, Note_on_c,0,71,110
2,4320, Note_on_c,0,74,110
2,4416, Note_on_c,0,72,110
2,4464, Note_on_c,0,67,110
2,4512, Note_on_c,0,69,110
2,4560, Note_on_c,0,71,110
2,4608, Note_on_c,0,72,110
2,4656, Note_on_c,0,74,110
2,4704, Note_on_c,0,76,110
2,4752, Note_on_c,0,84,110
2,4800, Note_on_c,0,81,110
2,4848, Note_on_c,0,77,110
2,4896, Note_on_c,0,74,110
2,4944, Note_on_c,0,77,110
2,4992, Note_on_c,0,72,110
2,5016, Note_on_c,0,79,110
2,5040, Note_on_c,0,67,110
2,5064, Note_on_c,0,79,110
2,5088, Note_on_c,0,69,110
2,5112, Note_on_c,0,79,110
2,5136, Note_on_c,0,71,110
2,5184, Note_on_c,0,72,110
2,5232, Note_on_c,0,74,110
2,5280, Note_on_c,0,76,110
2,5328, Note_on_c,0,84,110
2,5376, Note_on_c,0,81,110
2,5424, Note_on_c,0,77,110
2,5472, Note_on_c,0,74,110
2,5520, Note_on_c,0,77,110
2,5568, Note_on_c,0,76,110
2,5616, Note_on_c,0,76,110
2,5664, Note_on_c,0,76,110
2,5712, Note_on_c,0,76,110
2,5760, Note_on_c,0,76,110
2,5808, Note_on_c,0,76,110
2,5856, Note_on_c,0,76,110
2,6000, Note_on_c,0,71,110
2,6048, Note_on_c,0,76,110
2,6096, Note_on_c,0,75,110
2,6144, Note_on_c,0,76,110
2,6288, Note_on_c,0,71,110
2,6336, Note_on_c,0,76,110
2,6480, Note_on_c,0,75,110
2,6528, Note_on_c,0,76,110
2,6672, Note_on_c,0,75,110
2,6720, Note_on_c,0,76,110
2,6768, Note_on_c,0,75,110
2,6816, Note_on_c,0,76,110
2,6864, Note_on_c,0,71,110
2,6912, Note_on_c,0,74,110
2,6960, Note_on_c,0,72,110
2,7008, Note_on_c,0,69,110
2,7152, Note_on_c,0,60,110
2,7200, Note_on_c,0,64,110
2,7248, Note_on_c,0,69,110
2,7296, Note_on_c,0,71,110
2,7440, Note_on_c,0,64,110
2,7488, Note_on_c,0,68,110
2,7536, Note_on_c,0,71,110
2,7584, Note_on_c,0,72,110
2,7728, Note_on_c,0,64,110
2,7776, Note_on_c,0,76,110
2,7824, Note_on_c,0,75,110
2,7872, Note_on_c,0,76,110
2,7920, Note_on_c,0,75,110
2,7968, Note_on_c,0,76,110
2,8016, Note_on_c,0,71,110
2,8064, Note_on_c,0,74,110
2,8112, Note_on_c,0,72,110
2,8160, Note_on_c,0,69,110
2,8304, Note_on_c,0,60,110
2,8352, Note_on_c,0,64,110
2,8400, Note_on_c,0,69,110
2,8448, Note_on_c,0,71,110
2,8592, Note_on_c,0,64,110
2,8640, Note_on_c,0,72,110
2,8688, Note_on_c,0,71,110
2,8736, Note_on_c,0,69,110
2,8880, Note_on_c,0,71,110
2,8928, Note_on_c,0,72,110
2,8976, Note_on_c,0,74,110
2,9024, Note_on_c,0,76,110
2,9168, Note_on_c,0,67,110
2,9216, Note_on_c,0,77,110
2,9264, Note_on_c,0,76,110
2,9312, Note_on_c,0,74,110
2,9456, Note_on_c,0,65,110
2,9504, Note_on_c,0,76,110
2,9552, Note_on_c,0,74,110
2,9600, Note_on_c,0,72,110
2,9744, Note_on_c,0,64,110
2,9792, Note_on_c,0,74,110
2,9840, Note_on_c,0,72,110
2,9888, Note_on_c,0,71,110
2,10032, Note_on_c,0,64,110
2,10080, Note_on_c,0,76,110
2,10224, Note_on_c,0,76,110
2,10272, Note_on_c,0,88,110
2,10416, Note_on_c,0,75,110
2,10464, Note_on_c,0,76,110
2,10608, Note_on_c,0,75,110
2,10656, Note_on_c,0,76,110
2,10704, Note_on_c,0,75,110
2,10752, Note_on_c,0,76,110
2,10800, Note_on_c,0,75,110
2,10848, Note_on_c,0,76,110
2,10896, Note_on_c,0,71,110
2,10944, Note_on_c,0,74,110
2,10992, Note_on_c,0,72,110
2,11040, Note_on_c,0,69,110
2,11184, Note_on_c,0,60,110
2,11232, Note_on_c,0,64,110
2,11280, Note_on_c,0,69,110
2,11328, Note_on_c,0,71,110
2,11472, Note_on_c,0,64,110
2,11520, Note_on_c,0,68,110
2,11568, Note_on_c,0,71,110
2,11616, Note_on_c,0,72,110
2,11760, Note_on_c,0,64,110
2,11808, Note_on_c,0,76,110
2,11856, Note_on_c,0,75,110
2,11904, Note_on_c,0,76,110
2,11952, Note_on_c,0,75,110
2,12000, Note_on_c,0,76,110
2,12048, Note_on_c,0,71,110
2,12096, Note_on_c,0,74,110
2,12144, Note_on_c,0,72,110
2,12192, Note_on_c,0,69,110
2,12336, Note_on_c,0,60,110
2,12384, Note_on_c,0,64,110
2,12432, Note_on_c,0,69,110
2,12480, Note_on_c,0,71,110
2,12624, Note_on_c,0,64,110
2,12672, Note_on_c,0,72,110
2,12720, Note_on_c,0,71,110
2,12768, Note_on_c,0,69,110
